android.permission.READ_CALENDAR,android.permission.WRITE_CALENDAR,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.PROCESS_OUTGOING_CALLS,android.permission.READ_CALL_LOG,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_MMS,android.permission.RECEIVE_SMS,android.permission.RECEIVE_WAP_PUSH,android.permission.RECORD_AUDIO,android.permission.SEND_SMS,android.permission.WRITE_CALL_LOG,android.permission.WRITE_CONTACTS,android.permission.WRITE_EXTERNAL_STORAGE,class
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
