android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,class
0,1,1,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,1,1,1
1,0,1,0,1,1,1,0,1,1,1
1,1,1,1,1,0,0,0,0,1,1
1,1,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,0,1,1,1
0,1,1,1,0,0,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,1
1,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
1,0,1,1,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1
0,1,1,0,0,1,1,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1
1,1,1,0,0,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0,1
1,1,1,1,0,1,1,0,0,0,1
1,1,1,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1,1
0,1,1,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,0,0,0,1
0,1,1,0,1,1,0,0,0,0,1
1,0,1,0,1,0,0,0,0,1,1
1,1,1,0,1,1,0,0,0,1,1
1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,1,0,0,1,1,1
1,1,1,0,1,0,1,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,1
1,0,1,0,1,0,0,0,0,1,1
1,0,1,1,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,1
1,0,1,1,1,1,1,0,0,0,1
0,1,0,1,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1
1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,1
1,0,1,1,0,1,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,1,0,1
0,0,1,0,1,1,1,0,0,0,1
1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,1,1,1
1,0,1,1,1,1,1,0,0,0,1
1,1,1,0,1,0,0,0,1,1,1
1,0,1,0,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,1,1,1
0,1,1,1,0,0,0,0,0,0,1
1,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,1
1,0,1,1,0,1,1,0,0,0,1
1,0,1,1,1,1,0,1,1,1,1
0,1,1,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,1,1
1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,0,1,1,0,0,0,1
1,1,1,1,0,1,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,1,1,1
0,1,1,0,0,0,1,0,1,1,1
1,0,1,1,1,1,0,1,1,1,1
0,1,1,0,0,0,0,0,1,1,1
1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,1
1,1,0,0,1,1,0,0,0,0,1
1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,0,1
0,0,1,0,1,0,0,0,0,0,1
1,0,1,1,1,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,1,1,1,0,1,1,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,1
1,0,1,1,0,1,1,0,0,0,1
1,1,1,1,1,0,0,0,1,1,1
0,1,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,1,1
1,1,1,0,1,1,0,0,0,1,1
1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,0,0,0,0,1
1,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1
1,0,1,0,0,1,0,1,0,0,1
